Loan_ID,Customer_ID,Application_Date,Branch,Region,Age,Gender,Occupation,Employment_Years,Annual_Income,Credit_Score,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,EMI,Debt_To_Income_Ratio,LTV_Ratio,Risk_Category,Loan_Status,Collateral,Marital_Status,Dependents,Default_Flag
LN100045,CUST50045,2025-03-21,Kolkata,West,49,Female,Clerk,25,416689,735,Business,4160948,24,7.86,186999.94,13.8,80.9,Medium,Active,No,Married,4,0
LN100046,CUST50046,2025-09-11,Pune,South,58,Male,Doctor,29,1226835,671,Auto,1411657,84,12.68,18936.37,26.4,71.4,Medium,Delinquent,No,Single,3,0
LN100047,CUST50047,2025-10-03,Hyderabad,West,31,Female,Analyst,2,1882769,734,Medical,3035400,24,6.08,134164.68,33.3,64.9,Medium,Paid,No,Single,2,0
LN100048,CUST50048,2025-12-24,Chennai,North,53,Female,Engineer,11,1884795,756,Medical,2479193,12,16.87,241452.74,56.9,43.6,Low,Delinquent,Yes,Single,2,0
LN100049,CUST50049,2024-12-12,Delhi,West,62,Male,Doctor,12,1231612,631,Home,519065,84,9.99,6796.66,6.0,60.1,High,Paid,No,Married,3,0
LN100050,CUST50050,2024-05-31,Bengaluru,North,25,Female,Manager,23,369693,664,Medical,2326942,48,10.19,53417.86,48.9,49.9,Medium,Active,Yes,Single,0,0
LN100051,CUST50051,2025-02-01,Pune,North,25,Male,Analyst,6,2280982,535,Auto,4839709,120,11.17,44835.87,20.3,59.8,High,Delinquent,No,Married,2,0
LN100052,CUST50052,2026-03-17,Pune,North,39,Male,Manager,26,1424259,847,Medical,736182,24,13.56,34833.68,57.2,53.1,Low,Delinquent,No,Single,2,0
LN100053,CUST50053,2023-07-27,Delhi,South,51,Male,Analyst,9,903606,464,Business,2186671,120,14.49,20862.66,7.9,79.3,High,Defaulted,No,Married,2,1
LN100054,CUST50054,2026-05-10,Pune,South,53,Male,Analyst,31,1932824,466,Auto,1686940,180,6.57,9987.62,51.6,78.3,High,Delinquent,Yes,Single,2,0
LN100055,CUST50055,2024-05-06,Mumbai,West,31,Male,Engineer,9,2411108,520,Personal,2693911,60,15.02,51642.27,48.4,59.5,High,Defaulted,No,Married,0,1
LN100056,CUST50056,2026-06-01,Delhi,West,34,Female,Engineer,4,1310896,761,Education,2740582,48,15.14,65739.71,56.4,56.7,Low,Paid,Yes,Married,3,0
LN100057,CUST50057,2025-08-14,Delhi,South,59,Male,Manager,0,1037206,768,Home,4851856,180,12.09,30213.59,22.5,68.2,Low,Delinquent,No,Single,0,0
LN100058,CUST50058,2024-03-17,Delhi,West,24,Male,Analyst,3,1504224,543,Business,2185413,84,7.7,28020.12,42.0,75.2,High,Delinquent,No,Married,4,0
LN100059,CUST50059,2023-07-17,Hyderabad,West,25,Female,Analyst,21,470633,765,Medical,4413862,240,11.25,20460.09,31.0,68.7,Low,Paid,No,Single,2,0
LN100060,CUST50060,2026-02-03,Kolkata,West,63,Female,Analyst,17,845776,821,Home,4593067,36,7.38,137000.98,30.2,76.3,Low,Paid,No,Married,4,0
LN100061,CUST50061,2026-01-15,Delhi,West,25,Male,Teacher,25,897473,477,Debt Consolidation,879069,120,13.96,8348.23,17.6,40.3,High,Active,Yes,Married,4,0
LN100062,CUST50062,2025-02-17,Hyderabad,North,43,Male,Engineer,17,1186657,495,Debt Consolidation,3475984,60,12.52,65186.29,30.0,76.0,High,Delinquent,No,Married,1,0
LN100063,CUST50063,2023-08-04,Hyderabad,East,45,Male,Teacher,28,1722958,597,Auto,3427668,60,14.25,65268.51,26.6,65.4,High,Active,No,Married,2,0
LN100064,CUST50064,2024-05-08,Chennai,South,46,Male,Manager,5,601319,766,Personal,3903525,36,13.83,123427.29,46.9,76.7,Low,Paid,No,Single,4,0
LN100065,CUST50065,2025-02-10,Mumbai,East,41,Male,Clerk,18,375282,796,Medical,4371871,180,7.88,26202.08,28.0,73.2,Low,Paid,Yes,Single,0,0
LN100066,CUST50066,2025-07-12,Delhi,East,22,Female,Clerk,9,1085011,667,Auto,4758456,240,6.15,21046.25,44.4,68.1,Medium,Active,No,Married,2,0
LN100067,CUST50067,2024-01-28,Hyderabad,West,64,Female,Self-employed,24,1625171,662,Medical,4976410,36,17.61,162576.55,21.8,57.8,Medium,Active,No,Single,4,0
LN100068,CUST50068,2025-08-08,Pune,West,60,Male,Self-employed,22,1438680,637,Home,2260358,24,9.72,103336.03,29.5,55.2,High,Defaulted,Yes,Single,2,1
LN100069,CUST50069,2024-08-24,Bengaluru,South,51,Female,Doctor,15,1929617,543,Business,748430,240,10.34,3440.91,51.7,61.3,High,Defaulted,Yes,Married,2,1
LN100070,CUST50070,2024-10-10,Delhi,South,63,Male,Self-employed,8,1417934,816,Medical,2331317,84,14.83,31869.66,38.5,49.1,Low,Paid,Yes,Married,0,0
LN100071,CUST50071,2023-07-12,Bengaluru,West,47,Male,Engineer,13,2403887,766,Medical,926835,48,16.4,22475.75,20.5,57.2,Low,Active,No,Single,3,0
LN100072,CUST50072,2024-10-04,Chennai,North,46,Female,Analyst,25,2084172,660,Business,4805786,24,12.81,225891.97,30.1,93.3,Medium,Paid,No,Married,2,0
LN100073,CUST50073,2025-01-30,Mumbai,South,46,Male,Analyst,24,1955216,524,Personal,1568587,240,12.42,7347.52,35.8,55.0,High,Paid,No,Single,0,0
LN100074,CUST50074,2023-10-27,Hyderabad,South,24,Female,Manager,18,1232716,643,Business,2900882,60,12.41,54348.02,50.1,82.9,High,Defaulted,No,Single,3,1
LN100075,CUST50075,2024-09-08,Mumbai,South,21,Female,Doctor,8,389865,767,Education,210745,240,12.06,984.0,33.9,63.1,Low,Active,No,Single,0,0
LN100076,CUST50076,2023-12-20,Bengaluru,West,64,Female,Self-employed,24,465317,775,Medical,1486829,180,7.1,8846.63,26.8,53.1,Low,Delinquent,No,Single,0,0
LN100077,CUST50077,2024-09-27,Bengaluru,West,61,Female,Analyst,1,1025150,457,Business,4783628,120,14.99,45839.12,28.6,71.3,High,Active,Yes,Single,1,0
LN100078,CUST50078,2024-04-12,Chennai,West,40,Male,Manager,0,1114489,670,Medical,2758198,84,11.88,36736.57,42.1,46.0,Medium,Paid,Yes,Single,1,0
LN100079,CUST50079,2026-03-10,Delhi,West,37,Female,Manager,14,418556,655,Debt Consolidation,4342054,84,17.08,60519.96,47.5,64.4,Medium,Delinquent,No,Married,2,0
LN100080,CUST50080,2023-12-21,Bengaluru,South,39,Female,Engineer,24,191571,790,Education,1877068,48,8.63,42480.4,29.4,80.4,Low,Paid,Yes,Married,4,0
LN100081,CUST50081,2024-04-26,Mumbai,West,63,Male,Teacher,21,2105100,816,Education,2665241,84,14.92,36463.04,43.5,66.4,Low,Paid,No,Married,0,0
LN100082,CUST50082,2025-03-27,Mumbai,South,27,Female,Doctor,18,1594433,644,Personal,4071494,24,11.98,189969.12,11.6,67.8,High,Active,Yes,Single,2,0
LN100083,CUST50083,2024-08-22,Chennai,South,47,Male,Teacher,10,889816,772,Personal,3933415,60,8.21,70939.14,48.2,66.8,Low,Active,Yes,Single,0,0
LN100084,CUST50084,2024-03-18,Mumbai,West,46,Female,Engineer,6,1597426,736,Debt Consolidation,1131776,48,12.97,26636.82,13.4,55.0,Medium,Active,Yes,Single,4,0
LN100085,CUST50085,2024-07-27,Pune,West,48,Female,Teacher,8,1167143,501,Medical,2387117,12,12.32,223434.15,56.9,93.8,High,Active,Yes,Married,1,0
LN100086,CUST50086,2024-06-25,Bengaluru,South,64,Male,Self-employed,10,822714,604,Education,2575734,84,16.28,35655.52,34.0,58.6,High,Active,Yes,Single,1,0
LN100087,CUST50087,2026-06-28,Pune,North,37,Male,Manager,20,2479735,571,Medical,389247,84,6.79,4948.53,16.2,76.0,High,Delinquent,No,Single,3,0
LN100088,CUST50088,2024-10-07,Pune,West,35,Male,Manager,24,1326085,735,Business,2327854,84,10.97,30752.61,56.2,61.6,Medium,Active,Yes,Single,1,0
LN100089,CUST50089,2026-01-28,Pune,East,50,Male,Analyst,2,1215294,803,Home,3032482,84,7.29,38732.74,5.0,53.6,Low,Paid,No,Married,4,0
LN100090,CUST50090,2024-07-17,Pune,East,61,Female,Clerk,4,932016,812,Debt Consolidation,1512876,36,8.86,45747.69,26.0,41.0,Low,Active,No,Single,3,0
LN100091,CUST50091,2025-09-07,Chennai,South,42,Female,Teacher,7,1636820,525,Auto,601795,60,15.1,11544.43,17.6,54.9,High,Delinquent,Yes,Married,2,0
LN100092,CUST50092,2025-06-24,Pune,West,53,Female,Engineer,8,2416740,830,Education,1611536,24,7.2,71981.94,28.7,46.0,Low,Active,No,Married,0,0
LN100093,CUST50093,2024-02-29,Pune,South,36,Male,Engineer,3,504682,777,Business,2511664,60,16.54,48784.89,38.2,42.9,Low,Active,No,Single,3,0
LN100094,CUST50094,2026-01-16,Delhi,East,53,Female,Doctor,14,1172069,720,Education,4956227,180,13.46,31240.75,46.6,52.2,Medium,Active,Yes,Single,0,0
LN100095,CUST50095,2025-09-04,Delhi,South,49,Female,Self-employed,28,207299,514,Personal,352565,12,8.33,31827.81,23.7,90.9,High,Delinquent,No,Single,1,0
LN100096,CUST50096,2024-01-23,Mumbai,West,51,Male,Teacher,13,724605,825,Medical,4855780,24,10.39,223345.65,24.5,82.9,Low,Active,No,Single,0,0
LN100097,CUST50097,2023-11-18,Hyderabad,North,30,Female,Manager,25,1285713,647,Debt Consolidation,4716368,120,12.77,44322.07,32.8,76.7,High,Defaulted,Yes,Single,3,1
LN100098,CUST50098,2024-10-08,Chennai,North,22,Male,Engineer,11,1533278,797,Medical,308245,180,14.78,1965.58,15.8,52.0,Low,Paid,No,Single,0,0
LN100099,CUST50099,2025-06-01,Bengaluru,North,59,Female,Self-employed,23,2294907,767,Medical,1109217,36,11.22,34268.64,59.1,92.6,Low,Active,No,Single,2,0
LN100100,CUST50100,2025-01-24,Kolkata,North,63,Female,Engineer,35,1052659,806,Personal,1475507,48,8.86,33463.27,24.4,57.8,Low,Delinquent,No,Single,3,0
LN100101,CUST50101,2025-08-12,Bengaluru,East,22,Female,Self-employed,30,2204982,522,Personal,1872445,120,6.13,16560.22,23.8,72.4,High,Active,No,Single,1,0
LN100102,CUST50102,2024-10-09,Hyderabad,East,25,Male,Engineer,8,1752376,629,Personal,4133371,24,14.28,196817.35,43.5,68.4,High,Active,No,Single,3,0
LN100103,CUST50103,2026-05-09,Mumbai,North,52,Male,Self-employed,16,1900010,720,Personal,3023807,12,12.95,284615.83,43.9,73.3,Medium,Delinquent,No,Single,1,0
LN100104,CUST50104,2025-01-25,Bengaluru,North,58,Male,Analyst,1,2356539,753,Personal,1307095,36,13.07,41053.68,34.8,74.1,Low,Paid,No,Married,3,0
LN100105,CUST50105,2023-10-04,Hyderabad,South,60,Female,Self-employed,1,1477553,740,Debt Consolidation,4911419,12,13.25,463515.17,6.1,45.9,Medium,Paid,No,Married,4,0
LN100106,CUST50106,2025-07-16,Pune,South,21,Female,Doctor,21,1482576,809,Debt Consolidation,3999712,36,17.21,130223.96,12.3,41.6,Low,Active,No,Single,1,0
LN100107,CUST50107,2026-02-24,Hyderabad,South,57,Male,Analyst,20,383608,796,Auto,4155184,84,6.99,52924.18,23.5,44.9,Low,Paid,No,Married,1,0
LN100108,CUST50108,2026-04-05,Bengaluru,South,62,Female,Teacher,25,370720,838,Education,268639,60,10.23,4935.35,58.9,69.2,Low,Active,No,Married,1,0
LN100109,CUST50109,2024-11-19,Hyderabad,South,56,Male,Engineer,21,2482625,454,Business,2520354,12,11.05,233237.76,49.5,89.0,High,Delinquent,No,Single,4,0
LN100110,CUST50110,2024-07-19,Kolkata,North,53,Female,Doctor,2,976756,664,Home,4807920,48,6.32,106495.43,30.3,54.5,Medium,Paid,Yes,Married,2,0
LN100111,CUST50111,2025-07-12,Kolkata,North,30,Female,Doctor,11,1146126,587,Personal,3495248,240,11.25,16201.93,23.7,58.0,High,Paid,No,Married,1,0
LN100112,CUST50112,2023-11-07,Bengaluru,East,33,Male,Doctor,21,1563026,583,Medical,4337758,12,10.17,398242.33,43.9,74.2,High,Active,Yes,Single,4,0
LN100113,CUST50113,2024-01-18,Hyderabad,West,53,Male,Teacher,0,2348588,765,Education,1510227,84,11.28,20006.91,37.4,83.4,Low,Defaulted,Yes,Single,2,1
LN100114,CUST50114,2025-04-17,Mumbai,North,47,Male,Self-employed,6,2406356,744,Medical,1057058,180,11.6,6553.76,27.6,94.8,Medium,Delinquent,Yes,Single,2,0
LN100115,CUST50115,2023-12-11,Kolkata,East,62,Female,Analyst,12,1356420,786,Education,2875000,12,10.04,263637.5,9.9,45.1,Low,Active,No,Married,1,0
LN100116,CUST50116,2024-01-07,Hyderabad,South,39,Male,Doctor,27,1027169,540,Personal,1578405,84,8.5,20387.73,49.6,42.9,High,Active,Yes,Married,3,0
LN100117,CUST50117,2023-12-18,Hyderabad,West,45,Female,Teacher,30,1566031,697,Medical,3730308,84,16.98,51948.98,45.0,45.9,Medium,Delinquent,Yes,Single,3,0
LN100118,CUST50118,2024-04-04,Hyderabad,North,54,Female,Manager,32,1942800,805,Home,3745460,240,17.12,18277.84,9.7,63.1,Low,Paid,No,Single,4,0
LN100119,CUST50119,2024-07-16,Kolkata,North,26,Male,Manager,16,1732868,824,Auto,3919782,180,10.52,24067.46,59.2,83.8,Low,Paid,No,Married,0,0
LN100120,CUST50120,2024-10-11,Pune,North,64,Male,Teacher,15,965738,573,Auto,4138671,48,14.81,98991.84,52.6,90.5,High,Defaulted,Yes,Married,4,1
LN100121,CUST50121,2023-10-07,Bengaluru,North,51,Male,Teacher,20,1710704,609,Medical,749268,24,16.89,36492.47,9.3,45.5,High,Active,No,Married,2,0
LN100122,CUST50122,2023-08-04,Bengaluru,South,28,Male,Manager,8,806594,502,Debt Consolidation,2718642,60,11.51,50525.96,29.1,60.4,High,Delinquent,Yes,Married,0,0
LN100123,CUST50123,2023-08-19,Hyderabad,West,35,Female,Engineer,5,2323919,592,Auto,1056036,24,9.92,48366.45,32.7,74.2,High,Active,Yes,Single,0,0
LN100124,CUST50124,2024-08-30,Kolkata,North,58,Male,Analyst,12,1485909,758,Home,2757064,36,10.86,84902.25,22.3,65.5,Low,Paid,Yes,Single,2,0
LN100125,CUST50125,2024-04-26,Hyderabad,North,31,Male,Self-employed,1,1036070,493,Personal,4128102,12,12.83,388144.79,26.7,52.7,High,Defaulted,Yes,Single,2,1
LN100126,CUST50126,2024-05-28,Hyderabad,West,30,Female,Teacher,8,1380508,461,Home,1291709,24,6.45,57292.68,14.7,76.3,High,Delinquent,No,Married,2,0
LN100127,CUST50127,2024-02-15,Kolkata,East,49,Female,Self-employed,14,1403997,660,Medical,1672205,12,16.06,161730.09,5.4,72.2,Medium,Delinquent,No,Single,3,0
LN100128,CUST50128,2024-05-11,Delhi,West,27,Male,Engineer,7,385786,614,Debt Consolidation,4338394,36,8.81,131127.96,18.7,93.5,High,Active,No,Married,4,0
LN100129,CUST50129,2025-04-04,Hyderabad,West,48,Male,Teacher,13,1799185,478,Home,3108687,12,7.99,279755.92,17.8,94.4,High,Active,Yes,Single,1,0
LN100130,CUST50130,2025-10-11,Pune,South,41,Female,Manager,20,999889,692,Debt Consolidation,2467661,180,8.0,14805.97,40.1,75.2,Medium,Active,Yes,Single,3,0
LN100131,CUST50131,2023-07-18,Chennai,East,30,Female,Analyst,11,1226786,645,Debt Consolidation,4003969,36,15.21,128138.13,39.6,93.4,High,Defaulted,No,Single,3,1
LN100132,CUST50132,2023-10-10,Delhi,North,24,Female,Self-employed,18,466259,514,Education,3545169,60,9.87,64917.95,25.7,47.9,High,Delinquent,Yes,Married,2,0
LN100133,CUST50133,2026-01-09,Delhi,North,43,Male,Clerk,32,2454987,601,Medical,489886,12,13.3,46253.4,12.6,77.1,High,Delinquent,Yes,Married,4,0
LN100134,CUST50134,2024-03-20,Chennai,East,44,Male,Analyst,10,1987627,631,Auto,905642,36,12.85,28389.36,10.9,85.2,High,Paid,No,Married,3,0
LN100135,CUST50135,2025-03-21,Delhi,West,63,Male,Clerk,13,1958043,528,Personal,4589545,36,12.16,142989.82,13.9,48.6,High,Delinquent,No,Single,2,0
LN100136,CUST50136,2026-04-14,Bengaluru,North,44,Male,Doctor,30,1805724,788,Medical,2533422,24,11.72,117930.79,7.6,81.1,Low,Paid,No,Married,1,0
LN100137,CUST50137,2024-02-20,Chennai,North,42,Female,Analyst,11,554921,790,Home,4995379,36,15.29,159977.01,44.6,65.8,Low,Active,No,Married,3,0
LN100138,CUST50138,2023-11-09,Hyderabad,North,23,Male,Doctor,4,1311588,495,Personal,740687,12,14.11,70433.16,39.0,94.3,High,Delinquent,Yes,Married,1,0
LN100139,CUST50139,2025-10-09,Kolkata,North,35,Male,Analyst,20,2374234,714,Debt Consolidation,155346,120,16.95,1513.98,48.0,57.7,Medium,Paid,Yes,Married,4,0
LN100140,CUST50140,2024-04-16,Delhi,West,28,Female,Clerk,1,1377211,679,Personal,3770632,12,7.8,338728.44,54.9,45.8,Medium,Defaulted,Yes,Single,2,1
LN100141,CUST50141,2025-06-02,Delhi,North,52,Female,Self-employed,12,1027709,722,Business,1325470,240,9.31,6036.96,49.4,62.1,Medium,Paid,Yes,Single,3,0
LN100142,CUST50142,2026-01-19,Pune,South,30,Male,Self-employed,34,1616551,491,Business,3383604,60,12.03,63177.53,58.0,87.3,High,Defaulted,Yes,Married,3,1
LN100143,CUST50143,2026-01-06,Mumbai,East,48,Female,Doctor,34,1708603,475,Auto,2091519,60,9.88,38302.68,9.2,43.8,High,Paid,No,Single,2,0
LN100144,CUST50144,2024-08-16,Mumbai,West,26,Male,Teacher,5,596021,725,Personal,1199977,12,7.31,107307.94,6.9,59.6,Medium,Active,No,Married,3,0
LN100145,CUST50145,2025-07-03,Chennai,West,49,Female,Analyst,24,336517,832,Debt Consolidation,247012,48,7.01,5506.82,47.7,44.2,Low,Delinquent,Yes,Married,2,0
LN100146,CUST50146,2026-02-04,Bengaluru,West,23,Male,Self-employed,1,2124383,683,Education,571568,84,11.61,7594.37,6.0,61.9,Medium,Paid,No,Single,4,0
LN100147,CUST50147,2025-07-15,Pune,North,35,Male,Teacher,26,394160,622,Personal,1988043,36,11.53,61590.68,45.4,56.0,High,Active,No,Married,0,0
LN100148,CUST50148,2024-02-18,Kolkata,North,59,Male,Teacher,23,1913643,577,Home,1116825,180,6.15,6586.17,42.2,53.3,High,Defaulted,No,Single,4,1
LN100149,CUST50149,2023-07-23,Kolkata,West,35,Male,Teacher,19,465348,574,Business,2503449,36,13.23,78740.43,51.2,63.6,High,Defaulted,No,Single,4,1
LN100150,CUST50150,2025-08-10,Mumbai,West,21,Male,Teacher,25,1377535,683,Personal,965661,48,6.55,21435.66,8.7,78.9,Medium,Paid,Yes,Married,1,0
LN100151,CUST50151,2023-09-03,Mumbai,South,65,Male,Self-employed,19,2225173,579,Personal,3981174,180,7.25,23721.16,44.4,46.3,High,Active,Yes,Married,0,0
LN100152,CUST50152,2025-07-13,Mumbai,East,61,Female,Clerk,3,1715109,757,Business,1130739,36,11.49,35018.36,58.8,71.6,Low,Paid,No,Married,3,0
LN100153,CUST50153,2023-10-01,Delhi,South,55,Male,Clerk,10,2001347,593,Debt Consolidation,4806820,60,8.71,87091.57,23.6,66.7,High,Active,No,Single,1,0
LN100154,CUST50154,2024-07-04,Kolkata,West,50,Female,Self-employed,33,412857,688,Business,2453849,84,14.17,33351.9,6.4,68.2,Medium,Defaulted,No,Married,1,1
LN100155,CUST50155,2025-06-29,Pune,North,37,Female,Teacher,1,1144407,470,Medical,4593522,180,6.61,27206.41,37.6,92.0,High,Delinquent,Yes,Married,4,0
